excess_readmission_ratio,number_of_discharges,predicted_readmission_rate,expected_readmission_rate,hospital_overall_rating_clean
1,-0.11514118824431072,0.23482091717827647,-0.0544433655435631,-0.280602043542491
-0.11514118824431072,1,0.013370685507063775,0.0405948458756943,0.11454481205721496
0.23482091717827647,0.013370685507063775,1,0.9516122616649467,-0.16911893893505378
-0.0544433655435631,0.0405948458756943,0.9516122616649467,1,-0.08270828823078959
-0.280602043542491,0.11454481205721496,-0.16911893893505378,-0.08270828823078959,1
